1,0,20,5,0,3
2,0,50,3,18,2
3,1,30,4,0,2
4,0,20,4,8,2
5,1,0,0,15,2
6,0,60,3,18,3
7,1,20,2,17,2
8,1,20,4,0,1
9,1,20,4,0,3
10,0,20,3,0,2
11,1,50,2,0,3
12,1,20,4,0,3
13,1,20,3,0,3
14,0,30,4,18,1
15,1,20,3,1,1
16,1,20,4,0,3
17,0,20,4,0,2
18,1,20,0,0,2
19,1,30,4,0,2
20,0,20,4,0,3
21,1,30,4,0,3
22,0,20,4,18,1
23,0,20,4,10,1
24,1,30,4,0,2
25,1,20,4,9,1
26,0,30,3,0,3
27,1,50,4,0,2
28,0,50,3,10,2
29,0,30,3,18,2
30,0,30,4,18,3
31,0,30,4,18,3
32,1,20,4,10,3
33,0,50,4,6,3
34,1,40,4,14,3
35,1,40,2,0,1
36,1,30,5,0,1
37,0,30,5,6,3
38,1,30,4,18,3
39,0,40,2,18,1
40,1,50,4,10,2
41,0,20,3,0,1
42,1,50,4,18,2
43,1,60,4,14,2
44,0,60,4,0,3
45,1,20,4,5,2
46,0,50,2,0,2
47,1,30,4,0,2
48,1,20,4,0,1
49,0,40,4,5,2
50,1,40,4,0,2
51,1,20,4,17,2
52,1,50,3,16,2
53,0,20,3,18,3
54,1,60,5,6,3
55,0,20,4,0,1
56,1,30,3,6,2
57,1,20,2,15,1
58,0,20,2,0,1
59,0,20,2,0,3
60,0,20,2,0,3
61,0,50,2,18,3
62,0,50,2,18,3
63,1,20,4,11,1
64,0,0,0,18,1
65,0,10,1,15,1
66,0,40,5,13,3
67,0,0,0,18,3
68,1,40,4,10,1
69,0,30,2,18,1
70,1,20,4,18,2
71,1,30,4,6,2
72,1,20,4,10,1
73,0,30,3,0,2
74,0,40,4,10,2
75,1,50,4,0,1
76,0,30,4,0,2
77,0,40,4,18,1
78,0,40,4,1,2
79,0,30,4,5,2
80,1,30,4,0,2
81,0,30,4,7,2
82,1,30,4,0,3
83,1,0,0,15,1
84,0,40,4,0,1
85,1,40,4,1,1
86,1,30,4,16,1
87,0,40,2,16,1
88,0,30,3,0,2
89,1,30,4,18,3
90,1,80,4,18,1
91,1,80,4,18,1
92,1,30,3,0,1
93,1,30,4,0,1
94,1,40,3,0,3
95,1,50,4,14,1
96,0,30,5,7,1
97,0,50,4,18,2
98,0,20,3,15,1
99,1,20,3,15,2
100,1,20,4,10,3
101,1,20,3,1,2
102,1,20,4,14,3
103,1,20,4,0,2
104,1,20,4,0,3
105,1,20,4,0,3
106,1,20,3,0,3
107,1,20,4,9,2
108,1,20,3,0,3
109,0,50,2,18,2
110,1,10,2,15,3
111,1,50,2,18,3
